Fecha,Hora,Variable,Valor,Unidad,Lugar
42739,23,Velocidad registrada,1.52,m/s,Barranquilla
42740,0,Velocidad registrada,3.03,m/s,Barranquilla
42740,1,Velocidad registrada,2.8,m/s,Barranquilla
42740,2,Velocidad registrada,3.02,m/s,Barranquilla
42740,3,Velocidad registrada,2.13,m/s,Barranquilla
42740,4,Velocidad registrada,1.85,m/s,Barranquilla
42740,5,Velocidad registrada,2.02,m/s,Barranquilla
42740,6,Velocidad registrada,2.75,m/s,Barranquilla
42740,7,Velocidad registrada,1.35,m/s,Barranquilla
42740,8,Velocidad registrada,1.3,m/s,Barranquilla
42740,9,Velocidad registrada,1.6,m/s,Barranquilla
42740,10,Velocidad registrada,3.45,m/s,Barranquilla
42740,11,Velocidad registrada,3.08,m/s,Barranquilla
42740,12,Velocidad registrada,5.85,m/s,Barranquilla
42740,13,Velocidad registrada,7.57,m/s,Barranquilla
42740,14,Velocidad registrada,6.5,m/s,Barranquilla
42740,15,Velocidad registrada,6.63,m/s,Barranquilla
42740,16,Velocidad registrada,6.97,m/s,Barranquilla
42740,17,Velocidad registrada,6.4,m/s,Barranquilla
42740,18,Velocidad registrada,4.57,m/s,Barranquilla
42740,19,Velocidad registrada,4.23,m/s,Barranquilla
42740,20,Velocidad registrada,4.47,m/s,Barranquilla
42740,21,Velocidad registrada,5.5,m/s,Barranquilla
42740,22,Velocidad registrada,4.67,m/s,Barranquilla
42740,23,Velocidad registrada,1.6,m/s,Barranquilla
42741,0,Velocidad registrada,1.1,m/s,Barranquilla
42741,1,Velocidad registrada,2.28,m/s,Barranquilla
42741,2,Velocidad registrada,2.37,m/s,Barranquilla
42741,3,Velocidad registrada,2.58,m/s,Barranquilla
42741,4,Velocidad registrada,2.1,m/s,Barranquilla
42741,5,Velocidad registrada,2.45,m/s,Barranquilla
42741,6,Velocidad registrada,2.82,m/s,Barranquilla
42741,7,Velocidad registrada,3.75,m/s,Barranquilla
42741,8,Velocidad registrada,2.65,m/s,Barranquilla
42741,9,Velocidad registrada,2.53,m/s,Barranquilla
42741,10,Velocidad registrada,4,m/s,Barranquilla
42741,11,Velocidad registrada,3.22,m/s,Barranquilla
42741,12,Velocidad registrada,3.48,m/s,Barranquilla
42741,13,Velocidad registrada,5.57,m/s,Barranquilla
42741,14,Velocidad registrada,6.83,m/s,Barranquilla
42741,15,Velocidad registrada,5.82,m/s,Barranquilla
42741,16,Velocidad registrada,4.73,m/s,Barranquilla
42741,17,Velocidad registrada,4.3,m/s,Barranquilla
42741,18,Velocidad registrada,5.08,m/s,Barranquilla
42741,19,Velocidad registrada,3.5,m/s,Barranquilla
42741,20,Velocidad registrada,3.22,m/s,Barranquilla
42741,21,Velocidad registrada,3.85,m/s,Barranquilla
42741,22,Velocidad registrada,6.65,m/s,Barranquilla
42741,23,Velocidad registrada,7.05,m/s,Barranquilla
42742,0,Velocidad registrada,4.38,m/s,Barranquilla
42742,1,Velocidad registrada,3.6,m/s,Barranquilla
42742,2,Velocidad registrada,2.93,m/s,Barranquilla
42742,3,Velocidad registrada,2.9,m/s,Barranquilla
42742,4,Velocidad registrada,1.92,m/s,Barranquilla
42742,5,Velocidad registrada,2.48,m/s,Barranquilla
42742,6,Velocidad registrada,2.95,m/s,Barranquilla
42742,7,Velocidad registrada,4.17,m/s,Barranquilla
42742,8,Velocidad registrada,4.13,m/s,Barranquilla
42742,9,Velocidad registrada,6.35,m/s,Barranquilla
42742,10,Velocidad registrada,4.37,m/s,Barranquilla
42742,11,Velocidad registrada,5.2,m/s,Barranquilla
42742,12,Velocidad registrada,4.28,m/s,Barranquilla
42742,13,Velocidad registrada,3.62,m/s,Barranquilla
42742,14,Velocidad registrada,4.75,m/s,Barranquilla
42742,15,Velocidad registrada,4.62,m/s,Barranquilla
42742,16,Velocidad registrada,3.55,m/s,Barranquilla
42742,17,Velocidad registrada,3.2,m/s,Barranquilla
42742,18,Velocidad registrada,3.05,m/s,Barranquilla
42742,19,Velocidad registrada,3.9,m/s,Barranquilla
42742,20,Velocidad registrada,5.38,m/s,Barranquilla
42742,21,Velocidad registrada,3.95,m/s,Barranquilla
42742,22,Velocidad registrada,6.22,m/s,Barranquilla
42742,23,Velocidad registrada,2.25,m/s,Barranquilla
42743,0,Velocidad registrada,1.82,m/s,Barranquilla
42743,1,Velocidad registrada,2.43,m/s,Barranquilla
42743,2,Velocidad registrada,2.6,m/s,Barranquilla
42743,3,Velocidad registrada,1.5,m/s,Barranquilla
42743,4,Velocidad registrada,2.87,m/s,Barranquilla
42743,5,Velocidad registrada,3.27,m/s,Barranquilla
42743,6,Velocidad registrada,5.7,m/s,Barranquilla
42743,7,Velocidad registrada,7.67,m/s,Barranquilla
42743,8,Velocidad registrada,10.4,m/s,Barranquilla
42743,9,Velocidad registrada,12.47,m/s,Barranquilla
42743,10,Velocidad registrada,9.88,m/s,Barranquilla
42743,11,Velocidad registrada,10.08,m/s,Barranquilla
42743,12,Velocidad registrada,11.53,m/s,Barranquilla
42743,13,Velocidad registrada,12.47,m/s,Barranquilla
42743,14,Velocidad registrada,10.62,m/s,Barranquilla
42743,15,Velocidad registrada,10.37,m/s,Barranquilla
42743,16,Velocidad registrada,9.83,m/s,Barranquilla
42743,17,Velocidad registrada,10.15,m/s,Barranquilla
42743,18,Velocidad registrada,11.12,m/s,Barranquilla
42743,19,Velocidad registrada,10.97,m/s,Barranquilla
42743,20,Velocidad registrada,12.47,m/s,Barranquilla
42743,21,Velocidad registrada,11.97,m/s,Barranquilla
42743,22,Velocidad registrada,11.5,m/s,Barranquilla
42743,23,Velocidad registrada,12.32,m/s,Barranquilla
42744,0,Velocidad registrada,13,m/s,Barranquilla
42744,1,Velocidad registrada,13.03,m/s,Barranquilla
42744,2,Velocidad registrada,10.8,m/s,Barranquilla
42744,3,Velocidad registrada,10.58,m/s,Barranquilla
42744,4,Velocidad registrada,11.73,m/s,Barranquilla
42744,5,Velocidad registrada,12.07,m/s,Barranquilla
42744,6,Velocidad registrada,11.85,m/s,Barranquilla
42744,7,Velocidad registrada,12.63,m/s,Barranquilla
42744,8,Velocidad registrada,13,m/s,Barranquilla
42744,9,Velocidad registrada,11.5,m/s,Barranquilla
42744,10,Velocidad registrada,11.08,m/s,Barranquilla
42744,11,Velocidad registrada,11.48,m/s,Barranquilla
42744,12,Velocidad registrada,11.07,m/s,Barranquilla
42744,13,Velocidad registrada,13.33,m/s,Barranquilla
42744,14,Velocidad registrada,11.12,m/s,Barranquilla
42744,15,Velocidad registrada,9.85,m/s,Barranquilla
42744,16,Velocidad registrada,10.38,m/s,Barranquilla
42744,17,Velocidad registrada,10.03,m/s,Barranquilla
42744,18,Velocidad registrada,8.72,m/s,Barranquilla
42744,19,Velocidad registrada,8.73,m/s,Barranquilla
42744,20,Velocidad registrada,10.42,m/s,Barranquilla
42744,21,Velocidad registrada,10.12,m/s,Barranquilla
42744,22,Velocidad registrada,11.07,m/s,Barranquilla
42744,23,Velocidad registrada,9.92,m/s,Barranquilla
42745,0,Velocidad registrada,9.12,m/s,Barranquilla
42745,1,Velocidad registrada,12.23,m/s,Barranquilla
42745,2,Velocidad registrada,13.37,m/s,Barranquilla
42745,3,Velocidad registrada,12.32,m/s,Barranquilla
42745,4,Velocidad registrada,12.05,m/s,Barranquilla
42745,5,Velocidad registrada,12.83,m/s,Barranquilla
42745,6,Velocidad registrada,13.15,m/s,Barranquilla
42745,7,Velocidad registrada,13.2,m/s,Barranquilla
